Time (UTCG);"EIRP (dBW)";"Rcvd. Frequency (GHz)";"Rcvd. Iso. Power (dBW)";"Flux Density (dBW/m^2)";"g/T (dB/K)";"C/No (dB*Hz)";"Bandwidth (kHz)";"C/N (dB)";"Eb/No (dB)";"BER"
2 Oct 2021 03:26:58.988;6.380;2.290055;-162.593;-133.940266;6.876020;68.382498;6000.000;0.6010;2.3619;3.171704e-02
2 Oct 2021 03:27:03.000;6.380;2.290055;-162.350;-133.697153;6.876020;68.625612;6000.000;0.8441;2.6050;2.814248e-02
2 Oct 2021 03:27:08.000;6.380;2.290055;-162.065;-133.412996;6.876020;68.909768;6000.000;1.1283;2.8892;2.428757e-02
2 Oct 2021 03:27:13.000;6.380;2.290055;-161.807;-133.154664;6.876020;69.168100;6000.000;1.3866;3.1475;2.108480e-02
2 Oct 2021 03:27:18.000;6.380;2.290055;-161.570;-132.917937;6.876020;69.404828;6000.000;1.6233;3.3842;1.839980e-02
2 Oct 2021 03:27:23.000;6.380;2.290055;-161.351;-132.698261;6.876020;69.624503;6000.000;1.8430;3.6039;1.611844e-02
2 Oct 2021 03:27:28.000;6.380;2.290055;-161.144;-132.491660;6.876020;69.831104;6000.000;2.0496;3.8105;1.415340e-02
2 Oct 2021 03:27:33.000;6.380;2.290055;-160.947;-132.294916;6.876020;70.027849;6000.000;2.2463;4.0072;1.244039e-02
2 Oct 2021 03:27:38.000;6.380;2.290055;-160.758;-132.105508;6.876020;70.217257;6000.000;2.4357;4.1967;1.093255e-02
2 Oct 2021 03:27:43.000;6.380;2.290055;-160.574;-131.921481;6.876020;70.401284;6000.000;2.6198;4.3807;9.595579e-03
2 Oct 2021 03:27:48.000;6.380;2.290055;-160.393;-131.740317;6.876020;70.582448;6000.000;2.8009;4.5618;8.397770e-03
2 Oct 2021 03:27:53.000;6.380;2.290055;-160.212;-131.559799;6.876020;70.762966;6000.000;2.9815;4.7424;7.315862e-03
2 Oct 2021 03:27:58.000;6.380;2.290055;-160.034;-131.381892;6.876020;70.940872;6000.000;3.1594;4.9203;6.353294e-03
2 Oct 2021 03:28:03.000;6.380;2.290054;-159.858;-131.205548;6.876020;71.117217;6000.000;3.3357;5.0966;5.495309e-03
2 Oct 2021 03:28:08.000;6.380;2.290054;-159.682;-131.029954;6.876020;71.292810;6000.000;3.5113;5.2722;4.730519e-03
2 Oct 2021 03:28:13.000;6.380;2.290054;-159.507;-130.854466;6.876020;71.468299;6000.000;3.6868;5.4477;4.049793e-03
2 Oct 2021 03:28:18.000;6.380;2.290054;-159.331;-130.678557;6.876020;71.644208;6000.000;3.8627;5.6236;3.445541e-03
2 Oct 2021 03:28:23.000;6.380;2.290054;-159.154;-130.501789;6.876020;71.820975;6000.000;4.0395;5.8004;2.911229e-03
2 Oct 2021 03:28:28.000;6.380;2.290054;-158.976;-130.323789;6.876020;71.998975;6000.000;4.2175;5.9784;2.441058e-03
2 Oct 2021 03:28:33.000;6.380;2.290054;-158.797;-130.144232;6.876020;72.178532;6000.000;4.3970;6.1579;2.029738e-03
