Time;Azimuth;Elevation;Range
2 Oct 2021 03:26:58.988;167.100;0.000;2514.383102
2 Oct 2021 03:27:08.000;167.039;0.589;2449.883732
2 Oct 2021 03:27:18.000;166.968;1.262;2378.320579
2 Oct 2021 03:27:28.000;166.893;1.956;2306.778622
2 Oct 2021 03:27:38.000;166.814;2.674;2235.269545
2 Oct 2021 03:27:48.000;166.730;3.419;2163.806262
2 Oct 2021 03:27:58.000;166.641;4.192;2092.403131
2 Oct 2021 03:28:08.000;166.546;4.997;2021.076202
2 Oct 2021 03:28:18.000;166.445;5.837;1949.843515
2 Oct 2021 03:28:28.000;166.336;6.716;1878.725474
2 Oct 2021 03:28:38.000;166.219;7.640;1807.745294
2 Oct 2021 03:28:48.000;166.093;8.612;1736.929564
2 Oct 2021 03:28:58.000;165.956;9.639;1666.308937
2 Oct 2021 03:29:08.000;165.806;10.729;1595.918992
2 Oct 2021 03:29:18.000;165.642;11.889;1525.801329
2 Oct 2021 03:29:28.000;165.461;13.130;1456.004946
2 Oct 2021 03:29:38.000;165.261;14.462;1386.588001
2 Oct 2021 03:29:48.000;165.037;15.901;1317.620084
2 Oct 2021 03:29:58.000;164.785;17.462;1249.185156
2 Oct 2021 03:30:08.000;164.500;19.166;1181.385388
2 Oct 2021 03:30:18.000;164.173;21.036;1114.346208
2 Oct 2021 03:30:28.000;163.796;23.102;1048.222971
2 Oct 2021 03:30:38.000;163.355;25.399;983.209813
2 Oct 2021 03:30:48.000;162.831;27.971;919.551416
2 Oct 2021 03:30:58.000;162.199;30.870;857.558570
2 Oct 2021 03:31:08.000;161.422;34.159;797.628550
2 Oct 2021 03:31:18.000;160.442;37.911;740.271083
2 Oct 2021 03:31:28.000;159.170;42.210;686.139822
2 Oct 2021 03:31:38.000;157.453;47.139;636.066704
2 Oct 2021 03:31:48.000;155.011;52.772;591.091065
2 Oct 2021 03:31:58.000;151.282;59.126;552.465552
2 Oct 2021 03:32:08.000;144.965;66.091;521.608068
2 Oct 2021 03:32:18.000;132.488;73.212;499.963076
2 Oct 2021 03:32:28.000;103.483;78.887;488.758739
2 Oct 2021 03:32:38.000;55.057;78.958;488.714879
2 Oct 2021 03:32:48.000;25.583;73.349;499.834177
2 Oct 2021 03:32:58.000;12.921;66.242;521.401328
2 Oct 2021 03:33:08.000;6.533;59.278;552.190701
2 Oct 2021 03:33:18.000;2.774;52.920;590.758326
2 Oct 2021 03:33:28.000;0.317;47.283;635.685414
2 Oct 2021 03:33:38.000;358.592;42.349;685.717812
2 Oct 2021 03:33:48.000;357.318;38.047;739.814583
2 Oct 2021 03:33:58.000;356.339;34.291;797.142357
2 Oct 2021 03:34:08.000;355.564;30.999;857.046297
2 Oct 2021 03:34:18.000;354.935;28.098;919.015746
2 Oct 2021 03:34:28.000;354.416;25.524;982.652711
2 Oct 2021 03:34:38.000;353.981;23.224;1047.645853
2 Oct 2021 03:34:48.000;353.610;21.157;1113.750073
2 Oct 2021 03:34:58.000;353.291;19.286;1180.770920
2 Oct 2021 03:35:08.000;353.014;17.581;1248.552796
2 Oct 2021 03:35:18.000;352.772;16.019;1316.970086
2 Oct 2021 03:35:28.000;352.558;14.580;1385.920479
2 Oct 2021 03:35:38.000;352.368;13.246;1455.319904
2 Oct 2021 03:35:48.000;352.198;12.005;1525.098685
2 Oct 2021 03:35:58.000;352.046;10.844;1595.198599
2 Oct 2021 03:36:08.000;351.909;9.754;1665.570597
2 Oct 2021 03:36:18.000;351.785;8.727;1736.173041
2 Oct 2021 03:36:28.000;351.673;7.754;1806.970320
2 Oct 2021 03:36:38.000;351.570;6.831;1877.931762
2 Oct 2021 03:36:48.000;351.477;5.951;1949.030762
2 Oct 2021 03:36:58.000;351.391;5.110;2020.244091
2 Oct 2021 03:37:08.000;351.313;4.305;2091.551341
2 Oct 2021 03:37:18.000;351.241;3.532;2162.934467
2 Oct 2021 03:37:28.000;351.175;2.788;2234.377419
2 Oct 2021 03:37:38.000;351.114;2.070;2305.865842
2 Oct 2021 03:37:48.000;351.058;1.375;2377.386822
2 Oct 2021 03:37:58.000;351.007;0.703;2448.928682
2 Oct 2021 03:38:08.000;350.959;0.050;2520.480807
2 Oct 2021 03:38:08.770;350.956;0.001;2525.989859
